ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,epsilon,action,rolling_averages_eps,rolling_averages
13200,5.053333333333334,1,21,7.193333333333333,2.0,11.0,0.562502083402512,3.1933333333333334,236,4.213333333333333
13350,5.733333333333333,1,21,6.626666666666667,1.0,11.0,0.5575019167302866,3.6133333333333333,237,4.213333333333333
13500,5.68,1,21,6.533333333333333,1.0,11.0,0.5525017500580611,3.4466666666666668,238,4.226666666666667
13650,5.566666666666666,1,21,6.593333333333334,0.0,11.0,0.5475015833858357,3.6466666666666665,239,4.226666666666667
13800,5.513333333333334,1,21,6.886666666666667,0.0,11.0,0.5425014167136102,3.44,240,4.226666666666667
13950,5.033333333333333,1,21,7.02,2.0,11.0,0.5375012500413847,3.506666666666667,241,4.24
14100,5.026666666666666,1,21,6.773333333333333,0.0,11.0,0.5325010833691592,3.5866666666666664,242,4.3
14250,4.653333333333333,1,21,7.233333333333333,1.0,11.0,0.5275009166969338,3.32,243,4.3
14400,4.94,1,21,7.213333333333333,0.0,11.0,0.5225007500247083,3.5733333333333333,244,4.293333333333333
14550,4.533333333333333,1,21,7.246666666666667,2.0,11.0,0.5175005833524828,3.36,245,4.346666666666667
14700,4.706666666666667,1,21,7.233333333333333,1.0,11.0,0.5125004166802575,3.3333333333333335,246,4.346666666666667
14850,4.8533333333333335,1,21,7.44,1.0,11.0,0.5075002500080319,3.62,247,4.28
15000,4.78,1,21,7.6066666666666665,2.0,11.0,0.5025000833358064,3.1333333333333333,248,4.226666666666667
15150,4.6,1,21,7.426666666666667,1.0,11.0,0.497499916663581,3.3,249,4.233333333333333
15300,5.16,1,21,7.293333333333333,1.0,11.0,0.4924997499913555,3.1866666666666665,250,4.233333333333333
15450,4.766666666666667,1,21,6.873333333333333,2.0,11.0,0.4874995833191302,3.466666666666667,251,4.286666666666667
15600,5.253333333333333,1,21,6.693333333333333,2.0,11.0,0.48249941664690466,3.4133333333333336,252,4.286666666666667
15750,4.126666666666667,1,21,7.766666666666667,1.0,11.0,0.4774992499746792,3.4066666666666667,253,4.286666666666667
15900,4.786666666666667,1,21,7.166666666666667,1.0,11.0,0.47249908330245377,3.1866666666666665,254,4.293333333333333
16050,4.173333333333333,1,21,7.713333333333333,1.0,11.0,0.46749891663022825,3.453333333333333,255,4.306666666666667
16200,4.166666666666667,1,21,7.74,2.0,11.0,0.4624987499580028,3.526666666666667,256,4.3133333333333335
16350,4.453333333333333,1,21,7.426666666666667,1.0,11.0,0.45749858328577736,3.54,257,4.3133333333333335
16500,4.1866666666666665,1,21,7.826666666666667,0.0,11.0,0.45249841661355183,3.566666666666667,258,4.3133333333333335
16650,4.66,1,21,7.333333333333333,1.0,11.0,0.4474982499413265,3.3533333333333335,259,4.3133333333333335
16800,3.6933333333333334,1,21,8.213333333333333,1.0,11.0,0.44249808326910095,3.473333333333333,260,4.38
16950,3.62,1,21,8.36,1.0,11.0,0.4374979165968754,3.5933333333333333,261,4.38
17100,4.253333333333333,1,21,7.706666666666667,1.0,11.0,0.4324977499246499,3.5533333333333332,262,4.326666666666667
17250,4.0,1,21,7.673333333333333,2.0,11.0,0.4274975832524243,3.4266666666666667,263,4.326666666666667
17400,3.513333333333333,1,21,8.366666666666667,1.0,11.0,0.4224974165801989,3.0866666666666664,264,4.326666666666667
17550,3.4066666666666667,1,21,8.326666666666666,2.0,11.0,0.41749724990797343,3.433333333333333,265,4.386666666666667
17700,3.2533333333333334,1,21,8.42,1.0,11.0,0.412497083235748,3.3333333333333335,266,4.373333333333333
17850,4.6,1,21,6.92,1.0,11.0,0.4074969165635226,3.5533333333333332,267,4.426666666666667
18000,3.1,1,21,8.38,2.0,11.0,0.40249674989129713,3.2133333333333334,268,4.48
18150,3.52,1,21,8.166666666666666,2.0,11.0,0.3974965832190716,3.433333333333333,269,4.426666666666667
18300,3.2333333333333334,1,21,8.32,1.0,11.0,0.3924964165468462,3.493333333333333,270,4.413333333333333
18450,3.473333333333333,1,21,8.326666666666666,2.0,11.0,0.3874962498746207,3.6333333333333333,271,4.346666666666667
18600,3.6466666666666665,1,21,7.793333333333333,2.0,11.0,0.3824960832023952,3.3466666666666667,272,4.3533333333333335
18750,3.486666666666667,1,21,8.0,2.0,11.0,0.3774959165301697,3.4466666666666668,273,4.406666666666666
18900,3.6733333333333333,1,21,8.486666666666666,2.0,11.0,0.37249574985794426,3.4066666666666667,274,4.46
19050,3.1333333333333333,1,21,8.993333333333334,1.0,11.0,0.3674955831857188,3.58,275,4.406666666666666
19200,3.1,1,21,8.7,2.0,11.0,0.36249541651349326,3.18,276,4.406666666666666
19350,3.2266666666666666,1,21,8.746666666666666,2.0,11.0,0.3574952498412678,3.6266666666666665,277,4.48
19500,3.0,1,17,8.813333333333333,3.0,11.0,0.3524950831690424,3.2466666666666666,278,4.48
19650,2.8266666666666667,1,15,8.866666666666667,3.0,11.0,0.3474949164968169,3.4266666666666667,279,4.46
19800,3.24,1,21,8.486666666666666,2.0,11.0,0.34249474982459144,3.513333333333333,280,4.513333333333334
19950,3.28,1,21,8.54,2.0,11.0,0.33749458315236597,3.4266666666666667,281,4.453333333333333
20100,3.18,1,21,8.84,1.0,11.0,0.3324944164801405,3.466666666666667,282,4.453333333333333
20250,2.94,1,21,8.906666666666666,1.0,11.0,0.3274942498079151,3.453333333333333,283,4.52
20400,3.066666666666667,1,21,9.02,2.0,11.0,0.3224940831356896,3.4466666666666668,284,4.513333333333334
20550,2.84,1,13,8.76,3.0,11.0,0.3174939164634641,3.486666666666667,285,4.446666666666666
20700,3.046666666666667,1,21,8.433333333333334,2.0,11.0,0.3124937497912386,3.5533333333333332,286,4.5
20850,2.8466666666666667,1,21,8.966666666666667,2.0,11.0,0.3074935831190132,3.62,287,4.513333333333334
21000,2.953333333333333,1,21,9.233333333333333,2.0,11.0,0.3024934164467877,3.473333333333333,288,4.566666666666666
21150,2.8066666666666666,1,21,8.593333333333334,2.0,11.0,0.2974932497745622,3.546666666666667,289,4.493333333333333
21300,2.933333333333333,1,21,9.12,1.0,11.0,0.2924930831023368,3.3066666666666666,290,4.546666666666667
21450,3.1066666666666665,1,21,8.38,2.0,11.0,0.28749291643011127,3.54,291,4.533333333333333
21600,2.7333333333333334,1,9,8.92,3.0,11.0,0.2824927497578858,3.3933333333333335,292,4.533333333333333
21750,2.76,1,21,8.806666666666667,2.0,11.0,0.27749258308566027,3.6133333333333333,293,4.54
21900,2.9133333333333336,1,16,9.08,3.0,11.0,0.27249241641343486,3.54,294,4.48
22050,2.72,1,16,9.133333333333333,3.0,11.0,0.2674922497412094,3.6866666666666665,295,4.486666666666666
22200,2.933333333333333,1,21,9.026666666666667,3.0,11.0,0.2624920830689839,3.2933333333333334,296,4.433333333333334
22350,2.3866666666666667,1,11,9.506666666666666,3.0,11.0,0.25749191639675845,3.2066666666666666,297,4.44
22500,2.533333333333333,1,12,9.293333333333333,3.0,11.0,0.252491749724533,3.3266666666666667,298,4.426666666666667
22650,2.74,1,21,9.02,2.0,11.0,0.2474915830523096,3.6533333333333333,299,4.426666666666667
22800,2.3466666666666667,1,13,9.773333333333333,3.0,11.0,0.24249141638008828,3.4466666666666668,300,4.3533333333333335
22950,2.6333333333333333,1,11,9.24,3.0,11.0,0.23749124970786695,3.566666666666667,301,4.406666666666666
23100,2.2333333333333334,1,13,9.773333333333333,3.0,11.0,0.2324910830356457,3.36,302,4.406666666666666
23250,2.16,1,9,10.04,3.0,11.0,0.22749091636342436,3.7,303,4.4
23400,2.2733333333333334,1,21,9.82,2.0,11.0,0.22249074969120305,3.473333333333333,304,4.333333333333333
23550,2.4133333333333336,1,8,9.293333333333333,3.0,11.0,0.21749058301898178,3.36,305,4.346666666666667
23700,2.16,1,9,9.933333333333334,3.0,11.0,0.21249041634676047,3.34,306,4.286666666666667
23850,2.3933333333333335,1,10,9.506666666666666,3.0,11.0,0.20749024967453916,3.18,307,4.3
24000,2.2733333333333334,1,21,9.66,2.0,11.0,0.20249008300231783,3.3866666666666667,308,4.3133333333333335
24150,2.2933333333333334,1,12,9.666666666666666,3.0,11.0,0.19748991633009655,3.566666666666667,309,4.38
24300,2.2133333333333334,1,10,9.933333333333334,3.0,11.0,0.19248974965787521,3.466666666666667,310,4.38
24450,2.2666666666666666,1,10,9.666666666666666,3.0,11.0,0.1874895829856539,3.2266666666666666,311,4.38
